X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL_,LATITUDE,LONGITUDE
590395.1278,4789611.6137,743,Epic Books,226 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590394.1318,4789607.3692,744,Solee Shoes,230 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
590368.6002,4789525.0805,745,Lionsgate Montessori,248 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
589775.1981,4798423.5842,746,Copper Kettle,"312 Dundas Street East, Waterdown",Private,1,Multi-Ring,10,No,Yes,15,Yes,,
589718.1746,4798381.8165,747,House,"302 Dundas Street East, Waterdown",Municipal,1,Hammer Hoop,2,No,Yes,15,Yes,,
593910.3362,4789056.134,748,Aboriginal Health Centre,678 Main Street East,Private,1,Multi-Ring,6,No,Yes,3,Yes,,
582519.22,4805315.1566,749,Carlisle Community Centre and Library,1496 Centre Road,Park,1,Multi-Ring,14,No,No,15,Yes,,
584681.3708,4791191.022,750,St. Augustine's Parish,54 Sydenham St,ROW,2,Hammer Hoop,4,No,Yes,13,Yes,,
584556.2248,4790957.1297,751,Bistro Vie,103 King St W,ROW,1,Hammer Hoop,2,No,Yes,13,Yes,,
584584.0799,4790938.6819,752,Medusa Hair,100 King St W,ROW,1,Hammer Hoop,2,No,Yes,13,Yes,,
584132.2176,4790877.9824,753,J.L. Grightmire Arena,35 Market Street South,Municipal,1,Hammer Hoop,8,No,Yes,13,Yes,,
585210.502,4791581.9621,754,Dundas Driving Park - Tennis Club,,Private,1,Multi-Ring,8,No,No,,Yes,,
585910.0666,4791212.4369,755,Volunteer Field,"Off of King Street East, Dundas",Municipal,1,Multi-Ring,8,No,Yes,13,Yes,,
581561.11,4804343.7275,756,Courtcliffe Park,15,Municipal,1,Multi-Ring,6,No,No,15,Yes,,
582443.7027,4793259.3014,757,Johnson Tew Park,20 Medwin Drive,Municipal,1,Hammer Hoop,14,No,No,13,Yes,,
589030.3499,4798777.1066,758,Waterdown Memorial Park,"200 Hamilton Street North, Waterdown",Municipal,1,Hammer Hoop,6,No,Yes,15,Yes,,
583116.3717,4786338.1874,759,Ancaster Library,300 Wilson Street East,Municipal,1,Multi-Ring,16,No,Yes,,Yes,,
583206.012,4786262.3655,760,Ancaster Tennis Club,,Municipal,1,Multi-Ring,8,No,No,,Yes,,
588779.59,4790831.2058,761,Churchill Park at Ravine River Road,145 Cline,Park,1,Hammer Hoop,6,No,No,1,Yes,,
